StdInChIKey,SMILES,LogS,T,Source,Solvent,Solvent_SMILES,Smilesa,REF1,REF2,REF3,REF4,REF5
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,-0.400578187,21.0,Reaxys,acetone,CC(=O)C,,,,,,
ABRHLWPJYNIPHN-UHFFFAOYSA-N,O=C(NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,-3.500180194,,Reaxys,acetone,CC(=O)C,,,,,,
ACGUYXCXAPNIKK-UHFFFAOYSA-N,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,0.394826213,20.0,Reaxys,acetone,CC(=O)C,,,,,,
AFHJQYHRLPMKHU-GIWDNFATSA-N,[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,-1.221572041,18.0,Reaxys,acetone,CC(=O)C,,,,,,
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)C1=CC=CC(=C1)N(=O)=O,0.444041636,20.0,Reaxys,acetone,CC(=O)C,,,,,,
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,0.243700949,18.0,Reaxys,acetone,CC(=O)C,,,,,,
AIONOLUJZLIMTK-AWEZNQCLSA-N,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,-0.468519224,25.04,Reaxys,acetone,CC(=O)C,,,,,,
AIVJRJRAYJHCCR-DPAQBDIFSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,-2.827756863,20.0,Reaxys,acetone,CC(=O)C,,,,,,
AJVBPNRMKNARPG-UHFFFAOYSA-N,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,-0.921291877,25.0,Reaxys,acetone,CC(=O)C,,,,,,
ALYNCZNDIQEVRV-UHFFFAOYSA-N,NC1=CC=C(C=C1)C(O)=O,0.337495442,24.0,Reaxys,acetone,CC(=O)C,,,,,,
AMBQHHVBBHTQBF-UOUCRYGSSA-N,[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC,-2.318227789,,Reaxys,acetone,CC(=O)C,,,,,,
ANGUXJDGJCHGOG-UHFFFAOYSA-N,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,-2.016550754,20.0,Reaxys,acetone,CC(=O)C,,,,,,
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,-1.436150825,15.0,Reaxys,acetone,CC(=O)C,,,,,,
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,-0.459237338,20.0,Reaxys,acetone,CC(=O)C,,,,,,
ASDLSKCKYGVMAI-UHFFFAOYSA-N,OC(=O)C1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,-1.963880817,25.0,Reaxys,acetone,CC(=O)C,,,,,,
ASWVTGNCAZCNNR-UHFFFAOYSA-N,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,-3.605907144,24.99,Reaxys,acetone,CC(=O)C,,,,,,
AUHHYELHRWCWEZ-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O,-1.069979767,25.0,Reaxys,acetone,CC(=O)C,,,,,,
AVCSMMMOCOTIHF-UHFFFAOYSA-N,O=N(=O)C1=CC=CC2=CC=CC(=C12)N(=O)=O,-0.598639258,16.0,Reaxys,acetone,CC(=O)C,,,,,,
AVDDMQBDJTYCIR-UHFFFAOYSA-N,O=C(NC1=CC=C(NC(=O)C2=CN=CC=N2)C=C1)C1=CN=CC=N1,-3.505570497,,Reaxys,acetone,CC(=O)C,,,,,,
AVSXSVCZWQODGV-DPAQBDIFSA-N,[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,-0.826522497,27.54,Reaxys,acetone,CC(=O)C,,,,,,
BBEAQIROQSPTKN-UHFFFAOYSA-N,C1=CC2=C3C(C=CC4=C3C(C=C2)=CC=C4)=C1,-0.420205667,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2,-2.673538801,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,O=C(OCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,-0.25853527,24.0,Reaxys,acetone,CC(=O)C,,,,,,
BEJNERDRQOWKJM-UHFFFAOYSA-N,OCC1=CC(=O)C(O)=CO1,-2.84400061,23.0,Reaxys,acetone,CC(=O)C,,,,,,
BEKZHETVNVFYCV-UHFFFAOYSA-N,O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,-1.021978059,15.0,Reaxys,acetone,CC(=O)C,,,,,,
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,OP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,-2.036797563,25.02,Reaxys,acetone,CC(=O)C,,,,,,
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,CCOC(=O)C1=C(N(C)N=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,-1.116359437,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,-1.547708045,25.09,Reaxys,acetone,CC(=O)C,,,,,,
BHXIVVULYOMXPF-UHFFFAOYSA-N,CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-2.292959938,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BKYWPNROPGQIFZ-UHFFFAOYSA-N,CC1=CC=C(C(O)=O)C(C)=C1,-0.085996242,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,CC1=CC=CC=C1NC(N)=O,-1.55336281,23.0,Reaxys,acetone,CC(=O)C,,,,,,
BLUAFEHZUWYNDE-NNWCWBAJSA-N,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4,-0.940910623,24.99,Reaxys,acetone,CC(=O)C,,,,,,
BMEMSZNEGPFYMC-KNVOCYPGSA-N,C[C@H]1CC[C@H](CC1)C(N)=O,-0.902822505,18.0,Reaxys,acetone,CC(=O)C,,,,,,
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,-1.143884926,24.99,Reaxys,acetone,CC(=O)C,,,,,,
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,-1.540262719,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BOJKULTULYSRAS-NXIQKPQYSA-N,[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,-1.886057124,25.04,Reaxys,acetone,CC(=O)C,,,,,,
BQJCRHHNABKAKU-KBQPJGBKSA-N,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,-2.348157253,15.0,Reaxys,acetone,CC(=O)C,,,,,,
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,-0.998411194,24.99,Reaxys,acetone,CC(=O)C,,,,,,
BRVGOAJFDSDGKU-UHFFFAOYSA-N,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1,-1.116543475,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1C(O)=O,0.075176197,24.74,Reaxys,acetone,CC(=O)C,,,,,,
BTPSLIHHXNBZBL-UHFFFAOYSA-N,O=C(NC1=CN=C(NC(=O)C2=CC=CC=C2)C=N1)C1=CC=CC=C1,-2.900824399,,Reaxys,acetone,CC(=O)C,,,,,,
BTTNOGHPGJANSW-IBGZPJMESA-N,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1,-2.64193097,20.0,Reaxys,acetone,CC(=O)C,,,,,,
BTTRMCQEPDPCPA-UHFFFAOYSA-N,ClC1=CC2=C(C=C1)C(=O)OC2=O,0.588575421,24.99,Reaxys,acetone,CC(=O)C,,,,,,
BUUKOGVOXWQHJF-UHFFFAOYSA-N,CCCCCCCCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCCCCCCCC)C=C12,-2.045757491,20.0,Reaxys,acetone,CC(=O)C,,,,,,
CAQHPYSDQFDJAL-UHFFFAOYSA-N,ON=C1C(=O)C=CC2=C1C=CC=C2,-0.244127212,26.0,Reaxys,acetone,CC(=O)C,,,,,,
CAYMSCGTKZIVTN-IQUTYRLHSA-N,[H][C@@]12COC(=O)[C@@]1([H])CC1=CC(OC)=C(O)C=C1[C@H]2C1=CC=C(O)C(OC)=C1,-0.949847239,20.0,Reaxys,acetone,CC(=O)C,,,,,,
CBPNZQROAXOWJC-RVDMUPIBSA-N,COC1=CC=C(C=C1)C(=O)C(\CC(O)=O)=C\C1=CC=CC=C1,0.042893053,,Reaxys,acetone,CC(=O)C,,,,,,
CBQJSKKFNMDLON-JTQLQIEISA-N,[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)=O,-0.69945019,25.0,Reaxys,acetone,CC(=O)C,,,,,,
CCORPVHYPHHRKB-NXUCFJMCSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC,-1.284407192,20.0,Reaxys,acetone,CC(=O)C,,,,,,
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCC)C=C12,-2.267606191,20.0,Reaxys,acetone,CC(=O)C,,,,,,
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-2.364156497,24.84,Reaxys,acetone,CC(=O)C,,,,,,
CJTKTAPIDVKQNY-UHFFFAOYSA-N,COC1=C(OC(C)C)C=CC(=C1)C(=O)N1CCC2(CC1)N(C)CCN1C(=CC=C21)C(F)(F)F,0.031035392,,Reaxys,acetone,CC(=O)C,,,,,,
CKDZWMVGDHGMFR-GTPODGLVSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC,-1.297953573,20.0,Reaxys,acetone,CC(=O)C,,,,,,
CMIBUZBMZCBCAT-HZPDHXFCSA-N,[H][C@](OC(=O)C1=CC=C(C)C=C1)(C(O)=O)[C@@]([H])(OC(=O)C1=CC=C(C)C=C1)C(O)=O,0.006849752,22.0,Reaxys,acetone,CC(=O)C,,,,,,
CMWTZPSULFXXJA-VIFPVBQESA-N,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,-1.42044563,25.29,Reaxys,acetone,CC(=O)C,,,,,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(CC1=CC=CC=C1)C(O)=O,-2.733689172,25.0,Reaxys,acetone,CC(=O)C,,,,,,
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOC1=CC=C(NC(C)=O)C=C1,-0.32994314,30.0,Reaxys,acetone,CC(=O)C,,,,,,
CQIUKKVOEOPUDV-IYSWYEEDSA-N,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,-0.704648873,25.0,Reaxys,acetone,CC(=O)C,,,,,,
CSEWAUGPAQPMDC-UHFFFAOYSA-N,NC1=CC=C(CC(O)=O)C=C1,-1.316098643,25.0,Reaxys,acetone,CC(=O)C,,,,,,
CUCUKLJLRRAKFN-KKIBXBACSA-N,CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3[C@]2(C)C1=O,-1.995985874,24.99,Reaxys,acetone,CC(=O)C,,,,,,
CUYKNJBYIJFRCU-UHFFFAOYSA-N,NC1=CC=CN=C1,0.861071993,24.99,Reaxys,acetone,CC(=O)C,,,,,,
CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=C1NS(=O)(=O)C2=C1C=CC=C2,-0.188065238,25.0,Reaxys,acetone,CC(=O)C,,,,,,
CWRYPZZKDGJXCA-UHFFFAOYSA-N,C1CC2=C3C1=CC=CC3=CC=C2,-0.029200381,24.84,Reaxys,acetone,CC(=O)C,,,,,,
CZGCEKJOLUNIFY-UHFFFAOYSA-N,ClC1=CC=C(C=C1)N(=O)=O,0.802944895,17.0,Reaxys,acetone,CC(=O)C,,,,,,
DCDNKSJBRIJYEC-UHFFFAOYSA-N,CC1(CBr)C2CCC1(C)C(=O)C2Br,-0.713251069,,Reaxys,acetone,CC(=O)C,,,,,,
DCGRTRSBXMXCHW-AFNTYDFCSA-N,CC1(C)C[C@H]2C[C@@H]1CC2(C)CC1(Cl)C[C@H]2C[C@@H]1CC2(C)C,-0.971353173,,Reaxys,acetone,CC(=O)C,,,,,,
DHNCWGKMISNJQG-UHFFFAOYSA-N,CN(C(=O)C(=O)N(C)N(=O)=O)N(=O)=O,0.072121752,20.0,Reaxys,acetone,CC(=O)C,,,,,,
DMHADBQKVWXPPM-PDDCSNRZSA-N,CC(C)[C@@H]1CC\C(C)=C/CC\C(C)=C\C\C=C(C)/C=C/1,-2.134295072,,Reaxys,acetone,CC(=O)C,,,,,,
DMLAVOWQYNRWNQ-BUHFOSPRSA-N,C1=CC=C(C=C1)\N=N\C1=CC=CC=C1,0.2903599,25.0,Reaxys,acetone,CC(=O)C,,,,,,
DMSHKWHLXNDUST-UHFFFAOYSA-N,CC1=CC=C(NC(N)=O)C=C1,-0.751730463,23.0,Reaxys,acetone,CC(=O)C,,,,,,
DNVPQKQSNYMLRS-APGDWVJJSA-N,[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,-2.004575462,22.0,Reaxys,acetone,CC(=O)C,,,,,,
DPJHZJGAGIWXTD-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(F)C=C1,0.581404403,25.14,Reaxys,acetone,CC(=O)C,,,,,,
DPZSNGJNFHWQDC-ARJAWSKDSA-N,N\C(C#N)=C(/N)C#N,0.142253513,25.0,Reaxys,acetone,CC(=O)C,,,,,,
DYIIYHDGKUVKLC-KLOSEMCISA-N,CC1(C)C[C@H]2C[C@@H]1C\C2=C/C1(C)C[C@H]2C[C@@H]1CC2(C)C,-1.204876146,,Reaxys,acetone,CC(=O)C,,,,,,
DYIOSHGVFJTOAR-JGWLITMVSA-N,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)CS,-3.297191289,20.0,Reaxys,acetone,CC(=O)C,,,,,,
FBFHQXIENYXRKB-UHFFFAOYSA-N,ClC1=NC(OC2=CC=C(C=C2)N=NC2=CC=CC=C2)=NC(Cl)=N1,-1.016460387,25.0,Reaxys,acetone,CC(=O)C,,,,,,
FBHSPRKOSMHSIF-GRMWVWQJSA-N,[H][C@@]12C[C@H]3OC(C)=N[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,-1.011129134,29.99,Reaxys,acetone,CC(=O)C,,,,,,
FDAOZIJGWOTKQT-UHFFFAOYSA-N,O=N(=O)C1=CC=C2N=C3C(=CC=CC3=N(=O)C2=C1)N(=O)=O,-1.456674182,,Reaxys,acetone,CC(=O)C,,,,,,
FDTZUTSGGSRHQF-UHFFFAOYSA-N,OC1=CC=CC=C1C(=O)NC1=NC=C(S1)N(=O)=O,-2.843870159,25.0,Reaxys,acetone,CC(=O)C,,,,,,
FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,-1.170336471,25.0,Reaxys,acetone,CC(=O)C,,,,,,
FJKROLUGYXJWQN-UHFFFAOYSA-N,OC(=O)C1=CC=C(O)C=C1,0.215759855,23.0,Reaxys,acetone,CC(=O)C,,,,,,
FKJARBPQBIATJT-UHFFFAOYSA-N,C(N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,-0.413887927,20.0,Reaxys,acetone,CC(=O)C,,,,,,
FMXDVBRYDYFVGS-UHFFFAOYSA-N,COC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,0.796849864,15.0,Reaxys,acetone,CC(=O)C,,,,,,
FPBODWXATDKICU-FLFWOSPYSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCC,-1.907416736,20.0,Reaxys,acetone,CC(=O)C,,,,,,
FQEPJUOLUDFINX-MYJWUSKBSA-N,[H][C@@](CC(C)=O)(C1C(=O)OC2=CC=CC=C2C1=O)C1=CC=CC=C1,-0.439803394,25.0,Reaxys,acetone,CC(=O)C,,,,,,
FRASJONUBLZVQX-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=CC=C2,-0.267898415,25.09,Reaxys,acetone,CC(=O)C,,,,,,
FRWPFWGOLVNOHP-UHFFFAOYSA-N,CC1=CC=C(C=C1C)C(C1=CC(C)=C(C)C=C1)C(Cl)(Cl)Cl,-0.071257149,,Reaxys,acetone,CC(=O)C,,,,,,
FTKDWGYLOVAMPG-UHFFFAOYSA-N,[H]C(C)(Cl)C(=O)NC1=CC=C(C)C=C1,0.153245609,26.88,Reaxys,acetone,CC(=O)C,,,,,,
FVWJYYTZTCVBKE-ROUWMTJPSA-N,[H][C@]12[C@@H](CC[C@]1(CO)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C,-1.692333915,25.04,Reaxys,acetone,CC(=O)C,,,,,,
FWSMXVXIXPWASU-KACYJRNJSA-N,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3,0.035633813,20.0,Reaxys,acetone,CC(=O)C,,,,,,
FXXDPMMUSACTPR-UHFFFAOYSA-N,CC(N(CCC(O)=O)C(=O)C1=CC=CC=C1)C(O)=O,-1.097448168,20.0,Reaxys,acetone,CC(=O)C,,,,,,
FYMCICGEGWOUKR-VAWYXSNFSA-N,NC(=O)\N=N\C1=CC=CC(=C1)C(N)=O,-1.485741766,15.0,Reaxys,acetone,CC(=O)C,,,,,,
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,0.359498417,25.0,Reaxys,acetone,CC(=O)C,,,,,,
GKWPCEFFIHSJOE-UHFFFAOYSA-N,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,-1.863660145,20.0,Reaxys,acetone,CC(=O)C,,,,,,
GMYLVKUGJMYTFB-UHFFFAOYSA-N,CCN1C(=O)CNC2=C1N=C(C=N2)C1=CC=C(N=C1C)C1=NN=CN1,-2.864041347,,Reaxys,acetone,CC(=O)C,,,,,,
GMZVRMREEHBGGF-UHFFFAOYSA-N,NC(=O)CN1CCCC1=O,-1.371410923,24.84,Reaxys,acetone,CC(=O)C,,,,,,
GONDWPCTSYVHPW-UHFFFAOYSA-N,CCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-2.283762019,20.0,Reaxys,acetone,CC(=O)C,,,,,,
GOUHYARYYWKXHS-UHFFFAOYSA-N,OC(=O)C1=CC=C(C=O)C=C1,-1.10551814,30.0,Reaxys,acetone,CC(=O)C,,,,,,
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,-0.485005165,20.0,Reaxys,acetone,CC(=O)C,,,,,,
GQLZJDIJIIFRPK-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=C(Cl)C=C1,0.056047153,20.0,Reaxys,acetone,CC(=O)C,,,,,,
GRWAIJBHBCCLGS-UHFFFAOYSA-N,OC(=O)CN1C=NN=N1,0.190635412,25.08,Reaxys,acetone,CC(=O)C,,,,,,
