,logS,temperature,solvent_smiles,solute_smiles,source
0,-1.4966524686343907,273.15,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
1,-1.366634719467991,279.15,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
2,-1.28159357787156,283.45,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
3,-1.164513881378129,289.05,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
4,-1.0854205396737715,293.05,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
5,-0.9983354105488713,297.65,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
6,-0.9027725088297323,302.85,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
7,-0.80384298755667,308.05,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
8,-0.7176292908070735,313.15,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
9,-0.6499421530443955,317.15,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
10,-0.555983907576764,323.15,CO,ON(Cc1ccccc1)Cc1ccccc1,10.1021/acs.jced.9b01028
11,0.20862054415148099,283.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
12,0.2518261335544552,288.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
13,0.2985947087680101,293.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
14,0.3423965591399275,298.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
15,0.3843287459630142,303.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
16,0.43037726540374954,308.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
17,0.46978499834599863,313.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
18,0.5109270489201483,318.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
19,0.5520850630103029,323.15,CO,CC1(C)NC(=O)NC1=O,10.1021/acs.jced.9b01020
20,-1.3094070707619794,278.15,CO,O=Cc1cc(Br)c(O)c(Br)c1,10.1021/acs.jced.0c00376
21,-1.2605879075322246,283.15,CO,O=Cc1cc(Br)c(O)c(Br)c1,10.1021/acs.jced.0c00376
