solute_smiles,solvent_smiles
CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC(=O)C1=CC=CC(=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC1=CC=C(C=C1)C(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCOC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC(=O)C1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C1=CC2=C3C(C=CC4=C3C(C=C2)=CC=C4)=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C(OCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCOC(=O)C1=C(N(C)N=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
