Unnamed: 0,logS,temperature,solvent_smiles,solute_smiles
0,-0.400578187,294.15,CC(=O)C,CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C
1,0.394826213,293.15,CC(=O)C,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl
2,-1.221572041,291.15,CC(=O)C,[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O
3,0.444041636,293.15,CC(=O)C,OC(=O)C1=CC=CC(=C1)N(=O)=O
4,0.243700949,291.15,CC(=O)C,CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
5,-0.468519224,298.19,CC(=O)C,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O
6,-2.827756863,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O
7,-0.921291877,298.15,CC(=O)C,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O
8,0.337495442,297.15,CC(=O)C,NC1=CC=C(C=C1)C(O)=O
9,-2.016550754,293.15,CC(=O)C,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1
10,-1.436150825,288.15,CC(=O)C,CCOC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
11,-0.459237338,293.15,CC(=O)C,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3
12,-1.963880817,298.15,CC(=O)C,OC(=O)C1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
13,-1.069979767,298.15,CC(=O)C,ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O
14,-0.826522497,300.69,CC(=O)C,[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
15,-0.420205667,293.15,CC(=O)C,C1=CC2=C3C(C=CC4=C3C(C=C2)=CC=C4)=C1
16,-2.673538801,293.15,CC(=O)C,C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2
17,-0.25853527,297.15,CC(=O)C,O=C(OCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
18,-1.021978059,288.15,CC(=O)C,O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O
19,-1.116359437,293.15,CC(=O)C,CCOC(=O)C1=C(N(C)N=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1
20,-2.292959938,293.15,CC(=O)C,CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C
21,-0.085996242,293.15,CC(=O)C,CC1=CC=C(C(O)=O)C(C)=C1
22,-1.55336281,296.15,CC(=O)C,CC1=CC=CC=C1NC(N)=O
23,-0.902822505,291.15,CC(=O)C,C[C@H]1CC[C@H](CC1)C(N)=O
24,-1.143884926,298.14,CC(=O)C,ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O
25,-1.540262719,293.15,CC(=O)C,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O
26,-1.886057124,298.19,CC(=O)C,[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO
27,-2.348157253,288.15,CC(=O)C,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O
28,-1.116543475,293.15,CC(=O)C,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1
29,0.075176197,297.89,CC(=O)C,CC(=O)OC1=CC=CC=C1C(O)=O
30,-2.64193097,293.15,CC(=O)C,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1
31,-2.045757491,293.15,CC(=O)C,CCCCCCCCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCCCCCCCC)C=C12
32,-0.244127212,299.15,CC(=O)C,ON=C1C(=O)C=CC2=C1C=CC=C2
33,-0.949847239,293.15,CC(=O)C,[H][C@@]12COC(=O)[C@@]1([H])CC1=CC(OC)=C(O)C=C1[C@H]2C1=CC=C(O)C(OC)=C1
34,-0.69945019,298.15,CC(=O)C,[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)=O
35,-1.284407192,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC
36,-2.267606191,293.15,CC(=O)C,CCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCC)C=C12
37,-1.297953573,293.15,CC(=O)C,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC
38,0.006849752,295.15,CC(=O)C,[H][C@](OC(=O)C1=CC=C(C)C=C1)(C(O)=O)[C@@]([H])(OC(=O)C1=CC=C(C)C=C1)C(O)=O
39,-1.42044563,298.44,CC(=O)C,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
40,-2.733689172,298.15,CC(=O)C,NC(CC1=CC=CC=C1)C(O)=O
41,-0.704648873,298.15,CC(=O)C,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C
42,-1.316098643,298.15,CC(=O)C,NC1=CC=C(CC(O)=O)C=C1
43,-1.995985874,298.14,CC(=O)C,CC(=O)C1C(=O)C=C2OC3=C(C(C)=O)C(O)=C(C)C(O)=C3[C@]2(C)C1=O
44,-0.188065238,298.15,CC(=O)C,O=C1NS(=O)(=O)C2=C1C=CC=C2
45,-0.029200381,297.98999999999995,CC(=O)C,C1CC2=C3C1=CC=CC3=CC=C2
46,0.802944895,290.15,CC(=O)C,ClC1=CC=C(C=C1)N(=O)=O
47,0.072121752,293.15,CC(=O)C,CN(C(=O)C(=O)N(C)N(=O)=O)N(=O)=O
48,0.2903599,298.15,CC(=O)C,C1=CC=C(C=C1)\N=N\C1=CC=CC=C1
49,-0.751730463,296.15,CC(=O)C,CC1=CC=C(NC(N)=O)C=C1
50,-2.004575462,295.15,CC(=O)C,[H][C@](C)(\C=C\[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C
