,logS,temperature,solvent_smiles,solute_smiles
0,-3.332075128,293.15,C1=CC=CC=C1,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5c34
1,0.171100776,295.15,C1=CC=CC=C1,O=C1CCCCCCCCCCCCCCCCCN1
2,-0.885219291,293.15,C1=CC=CC=C1,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
3,-1.342690328,293.15,C1=CC=CC=C1,CCCCCCC(N)=O
4,-0.969402295,298.15,C1=CC=CC=C1,OC(=O)c1cccc(c1)[N+]([O-])=O
5,-0.810589193,291.15,C1=CC=CC=C1,CN(c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
6,-1.058156274,293.15,C1=CC=CC=C1,CCCCCC(N)=O
7,-2.34814254,298.15,C1=CC=CC=C1,Nc1ccc(cc1)C(O)=O
8,0.436610032,290.15,C1=CC=CC=C1,Cc1ccc(cc1)N(c2cccc(C)c2)c3cccc(C)c3
9,0.224355743,288.15,C1=CC=CC=C1,CCOc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
10,-2.988178757,293.15,C1=CC=CC=C1,COc1cccc(C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1
11,0.117757985,293.15,C1=CC=CC=C1,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3
12,-0.39912237,293.15,C1=CC=CC=C1,[C@@H]45C3=NC1=C([C@H]2CC[C@@H]1C2(C)C)N=C3[C@@H](CC4)C5(C)C
13,-0.405925001,299.15,C1=CC=CC=C1,C[C@@H]3CCCC(NC(=O)c1cccc2ccccc12)C3
14,-0.044894198,303.15,C1=CC=CC=C1,Cc1ccccc1N=Nc2ccc(O)cc2
15,-0.91164702,298.15,C1=CC=CC=C1,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
16,-0.270795364,299.15,C1=CC=CC=C1,N#C/C(c1ccccc1)=N(=O)/c2ccc(Cl)cc2
17,-0.25369029,303.15,C1=CC=CC=C1,Cc1cc(O)ccc1N=Nc2ccccc2
18,-0.259626574,293.15,C1=CC=CC=C1,c1cc2ccc3cccc4ccc(c1)c2c34
19,-3.397897726,298.15,C1=CC=CC=C1,OC(=O)CCC(=O)NNC(=O)c1ccccc1
20,-0.842909873,293.15,C1=CC=CC=C1,Cl[S](=O)(=O)c1cccc2c1cccc2[S](Cl)(=O)=O
21,-0.034809562,297.15,C1=CC=CC=C1,O=C(OCOC(=O)c1ccccc1)c2ccccc2
22,-3.368383065,298.15,C1=CC=CC=C1,OC(=O)CCCCCCCC(O)=O
23,-1.868131264,288.15,C1=CC=CC=C1,[O-][N+](=O)c1cc2cccc(c2c(c1)[N+]([O-])=O)[N+]([O-])=O
24,-1.139808281,303.15,C1=CC=CC=C1,c1ccc(cc1)/N=N/c2ccc(cc2)O
25,-2.795880925,298.15,C1=CC=CC=C1,CCc1c(c2/cc/3\nc(/cc\4/c(c(/c(/[nH]4)c/c5n/c(c\c1[nH]2)/C(=C5C)CC)C)CC)C(=C3C)CC)C
