,logS,temperature,solvent_smiles,solute_smiles
0,-2.122892155,289.65,OCC,c1ccc2c(c1)c1CCN3C[C@@H]4CC[C@@H]([C@@H]([C@H]4C[C@H]3c1[nH]2)C(=O)O)O
1,-1.772342835,294.15,OCC,CN(C)c1ccc(cc1)N=C=Nc1ccc(cc1)N(C)C
2,0.089474843,293.15,OCC,C(c1c(c(cc(c1O)Cl)Cl)Cl)c1c(c(cc(c1O)Cl)Cl)Cl
3,-2.823897322,293.15,OCC,c1ccc2c(c1)cc(C(=O)O)c(=O)o2
4,-2.110796646,293.15,OCC,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)SCCC(=O)O
5,-1.445595972,291.15,OCC,c1cc2C(c3cc(cc(c3C(=O)c2c(c1)O)O)CO)C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O
6,0.408412743,298.15,OCC,c1cc(cc(c1)[N+](=O)[O-])C(=O)O
7,-2.493568977,298.15,OCC,CCC(C)C(C(=O)O)N
8,-1.83088487,291.15,OCC,CN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
9,-1.416756969,293.15,OCC,C[n+]1ccc2cc(c(cc2c1Cc1ccc(c(c1)OC)OC)OC)[O-]
10,-0.164919184,298.15,OCC,CCCC(=O)NCCNC(=O)CCC
11,-0.277683685,291.15,OCC,C=C(C)C1CC(=O)C(C)C(=O)C1
12,-1.482794438,293.15,OCC,c1cc(ccc1N)S(=O)(=O)NC(CO)(CO)CO
13,-2.06048026,295.15,OCC,COc1ccc(c(c1)OC)N=Cc1ccc(cc1)c1ccccc1
14,-1.290243154,288.15,OCC,CCOc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
15,-0.711484813,293.15,OCC,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3
16,-0.634478221,298.15,OCC,c1c(cc(c(c1Cl)OP(=O)(O)Oc1c(cc(cc1Cl)Cl)Cl)Cl)Cl
17,-2.230886645,298.15,OCC,C[C@H]([C@@H](C(=O)O)N)O
18,-0.528663663,291.15,OCC,C1=CC(=O)C=CC1=O
