,solute_smiles,solvent_smiles,temperature,logS
0,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,298.2,-2.06483
1,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,308.2,-1.94998
2,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,318.2,-1.8879
3,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,393.0,-0.61019
4,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,413.0,-0.39194
5,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,423.0,-0.34028
6,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,433.0,-0.21126
7,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCO,443.0,-0.0171
8,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,308.15,-0.41881
9,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,313.15,-0.35701
10,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,318.15,-0.2702
11,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,323.15,-0.23873
12,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,333.15,-0.13454
13,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,343.15,-0.05302
14,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,353.15,0.00437
15,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,363.15,0.07033
16,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,373.15,0.12063
17,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,383.15,0.19062
18,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,393.15,0.2483
19,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,C1CCOC1,403.15,0.31984
20,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,323.14,-1.64627
21,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,333.14,-1.55676
22,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,343.14,-1.48732
23,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,353.14,-1.42725
24,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,363.14,-1.35488
25,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,373.14,-1.32033
26,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,383.14,-1.24713
27,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,393.14,-1.18495
28,C1/C(=C\C2=CC=CO2)/C(=O)/C(=C/C3=CC=CO3)/C1,CO,403.14,-1.12833
29,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,CCO,393.0,-1.01312
30,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,CCO,413.0,-0.66425
31,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,CCO,423.0,-0.45062
32,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,CCO,433.0,-0.21126
33,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,CCO,443.0,0.14153
34,C(CCC(=O)O)CC(=O)O,CC(=O)O,297.93,-0.45625
35,C(CCC(=O)O)CC(=O)O,CC(=O)O,302.7,-0.35955
36,C(CCC(=O)O)CC(=O)O,CC(=O)O,306.65,-0.30365
37,C(CCC(=O)O)CC(=O)O,CC(=O)O,311.67,-0.22298
38,C(CCC(=O)O)CC(=O)O,CC(=O)O,315.2,-0.16349
39,C(CCC(=O)O)CC(=O)O,CC(=O)O,319.33,-0.1041
40,C(CCC(=O)O)CC(=O)O,CC(=O)O,323.49,-0.03908
41,C(CCC(=O)O)CC(=O)O,CC(=O)O,326.57,0.00706
42,C(CCC(=O)O)CC(=O)O,CC(=O)O,329.3,0.04765
43,C(CCC(=O)O)CC(=O)O,CC(=O)O,332.85,0.09681
44,C(CCC(=O)O)CC(=O)O,CC(=O)O,335.77,0.16204
45,C(CCC(=O)O)CC(=O)O,CC(=O)O,339.55,0.2171
46,C(CCC(=O)O)CC(=O)O,CC(=O)O,344.53,0.27171
47,C(CCC(=O)O)CC(=O)O,CC(=O)O,347.65,0.31705
48,C(CCC(=O)O)CC(=O)O,CC(=O)O,303.0,-0.33502
49,C(CCC(=O)O)CC(=O)O,CC(=O)O,313.0,-0.18156
50,C(CCC(=O)O)CC(=O)O,CC(=O)O,323.0,0.02632
51,C(CCC(=O)O)CC(=O)O,CC(=O)O,333.0,0.19213
52,C(CCC(=O)O)CC(=O)O,CC(=O)O,343.0,0.33708
53,C(CCC(=O)O)CC(=O)O,CC(=O)O,353.0,0.45025
54,C(CCC(=O)O)CC(=O)O,CC(=O)O,363.0,0.62524
55,C(CCC(=O)O)CC(=O)O,CC(=O)O,373.0,0.75553
56,C(CCC(=O)O)CC(=O)O,CC(=O)O,383.0,0.874
57,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,292.75,-0.99296
58,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,294.55,-0.97006
59,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,297.23,-0.86451
60,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,298.75,-0.84072
61,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,302.35,-0.79998
62,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,304.09,-0.77672
63,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,312.55,-0.6306
64,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,318.4,-0.47607
65,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,327.55,-0.35414
66,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,339.05,-0.17248
67,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,349.85,0.0163
68,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,355.15,0.12637
69,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,303.0,-0.89967
70,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,313.0,-0.73391
71,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,323.0,-0.50811
72,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,333.0,-0.31951
73,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,343.0,-0.13334
74,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,353.0,0.00527
75,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,363.0,0.15186
76,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,373.0,0.28565
77,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,383.0,0.38031
78,C(CCC(=O)O)CC(=O)O,C1CCC(=O)CC1,393.0,0.46798
79,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,298.8,-1.79332
80,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,301.35,-0.99138
81,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,306.43,-0.75682
82,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,308.75,-0.58822
83,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,311.95,-0.42448
84,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,317.65,-0.27408
85,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,322.9,-0.176
86,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,329.45,-0.07101
87,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,334.75,-0.00105
88,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,340.1,0.06519
89,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,344.9,0.12732
90,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,352.47,0.21582
91,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,303.0,-0.84338
92,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,313.0,-0.48322
93,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,323.0,-0.20225
94,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,333.0,-0.0618
95,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,343.0,0.11043
96,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,353.0,0.21196
97,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,363.0,0.32665
98,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,373.0,0.43627
99,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,383.0,0.54482
100,C(CCC(=O)O)CC(=O)O,C1CCC(CC1)O,393.0,0.63033
101,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,294.75,1.051
102,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,298.75,1.0637
103,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,301.05,1.07125
104,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,302.15,1.07726
105,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,306.35,1.08732
106,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,310.05,1.09884
107,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,312.15,1.10602
108,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,316.55,1.1214
109,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,319.35,1.13267
110,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,323.35,1.14893
111,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,325.65,1.15792
112,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,329.05,1.17216
113,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,331.85,1.18698
114,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,336.45,1.21012
115,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,340.05,1.22795
116,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,343.35,1.24903
117,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,346.05,1.26855
118,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,348.75,1.28917
119,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,351.25,1.30759
120,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,355.55,1.34878
121,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,358.05,1.3731
122,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,362.85,1.42314
123,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,366.85,1.47426
124,C1=CC=C(C=C1)C(=O)O,CN(C)C=O,369.65,1.51825
125,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,293.15,-1.76439
126,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,298.15,-1.71163
127,C1=CC(=CC=C1C=O)C(=O)O,CC(=O)O,303.15,-1.6597
